Frequency,BASF_R1,BASF_R2,NORDL,BASF_R100,BASF_R200,BASF_R1000,BASF_R500,BASF_R700,BASF_R800,ZANDV
2194,3.18090971671164,3.18072855228091,0.443026152593737,109.225561183896,37.9370507786128,40.2028132588747,44.2933068984279,63.9759942929706,36.4909201571127,1.6905289771283
2196,3.2182681823474,3.21808895980336,0.471746262536432,108.461675993961,37.8674652042997,40.0667720658364,44.1377895283715,63.6728703381146,36.3807576000281,1.72370209356206
2198,3.25578671785802,3.25560939843019,0.500606752577073,107.709163757371,37.7981651424929,39.9317914546787,43.983528985625,63.3729588966601,36.2713702956334,1.75701279130557
2200,3.29346698113465,3.29329152716631,0.529604005260968,106.967769912364,37.7291487558935,39.7978581229566,43.8305089403358,63.0762066801126,36.1627493263712,1.79046247892069
2202,3.3313106493358,3.33113702424149,0.558735388454291,106.237247457519,37.6604142229069,39.6649590070889,43.6787133654719,62.7825616214348,36.0548859245932,1.82405258506051
2204,3.36931941917754,3.36914758740259,0.587999024400254,105.517356672794,37.5919597374718,39.5330812765186,43.528126529219,62.4919728387317,35.947771469029,1.8577845584366
2206,3.40749500723134,3.40732493421337,0.617393621582787,104.807864852839,37.5237835088917,39.4022123280573,43.3787329876251,62.204390600275,35.841397481366,1.8916598678204
2208,3.44583915022704,3.44567080235917,0.646918350404475,104.108546051938,37.4558837616672,39.2723397804144,43.2305175774855,61.9197662908155,35.7357556229386,1.92568000207404
2210,3.48435360536285,3.48418694995858,0.67657274996364,103.419180840022,37.388258735332,39.1434514688948,43.0834654094553,61.6380523791159,35.63083769152,1.95984647020927
2212,3.52304015062124,3.52287515588091,0.706356657254928,102.739556069172,37.3209066842901,39.0155354402665,42.9375618613827,61.3592023866623,35.526635618214,1.99416080147137
2214,3.56190058508985,3.56173722006873,0.73627015277258,102.069464650102,37.253825877655,38.8885799477845,42.792792571853,61.0831708574924,35.4231414644414,2.02862454544646
2216,3.60093672929131,3.60077496386895,0.766313518272245,101.408705338123,37.1870145990914,38.7625734463698,42.6491434339345,60.8099133290995,35.320347419019,2.06323927219001
2218,3.64015042551718,3.63999023036823,0.796487203655067,100.757082528119,37.1204711466588,38.6375045879355,42.5066005891204,60.5393863043631,35.2182457953257,2.09800657237553
2220,3.67954353817066,3.67938488473687,0.826791800773784,100.114406058107,37.0541938326563,38.5133622168526,42.3651504214556,60.271547224463,35.1168290285534,2.13292805746174
2222,3.71911795411349,3.71896081457705,0.857228022546051,99.4804910209472,36.9881809834705,38.3901353655543,42.2247795518458,60.006354442736,35.0160896730397,2.16800535987673
2224,3.75887558302318,3.758719930281,0.887796686176845,98.8551575838308,36.9224309394245,38.2678132502692,42.0854748325361,59.7437671994352,34.9160203996776,2.2032401332193
2226,3.79881835775338,3.79866416539283,0.918498699590965,98.2382308151519,36.856942054629,38.1463852668812,41.9472233417595,59.4837455973532,34.8166139934017,2.23863405247482
2228,3.83894823470495,3.83879547698013,0.949335050394572,97.6295405184368,36.7917126968352,38.0258409869114,41.8100123785418,59.2262505782769,34.7178633507457,2.27418881424646
2230,3.87926719420157,3.87911584601096,0.980306796844998,97.0289210729709,36.7267412472896,37.9061701536151,41.6738294576634,58.9712439002366,34.619761477471,2.30990613699974
2232,3.9197772408747,3.9196272777397,1.0114150604282,96.4362112808363,36.6620261005905,37.787362678193,41.5386623047672,58.7186881155196,34.5223014862605,2.3457877613212
2234,3.9604804040549,3.960331802099,1.04266101973029,95.8512542200403,36.5975656645463,37.6694086361092,41.4044988516101,58.4685465494144,34.4254765944787,2.38183545018933
2236,4.00137873817161,4.00123147410075,1.0740459053598,95.2738971034661,36.5333583600355,37.5522982635153,41.2713272314525,58.2207832796603,34.3292801219934,2.41805098925812
2238,4.04247432316041,4.04232837424381,1.10557099572727,94.7039911433742,36.4694026208685,37.4360219537738,41.1391357745799,57.9753631165719,34.2337054890579,2.45443618715258
2240,4.08376926487876,4.08362460893084,1.13723761352907,94.1413914211967,36.405696893651,37.3205702540797,41.0079130039514,57.7322515838095,34.1387462142507,2.49099287577644
2242,4.12526569552941,4.12512231089215,1.16904712281242,93.5859567623947,36.3422396376489,37.2059338621749,40.877647630973,57.491414899778,34.0443959124713,2.52772291063049
2244,4.16696577409291,4.16682363961903,1.20100092652427,93.03754961614,36.279029324655,37.0921036231543,40.7483285513892,57.2528199596197,33.9506482929905,2.5646281711429
2246,4.20887168676737,4.20873078180424,1.23310046446258,92.4960359396163,36.2160644388575,36.9790705263582,40.6199448412891,57.0164343177865,33.8574971575518,2.60171056100987
2248,4.2509856474196,4.2508459517937,1.26534721156758,91.961285086718,36.1533434767098,36.866825702349,40.4924857532226,56.7822261711626,33.7649363985239,2.63897200854838
2250,4.29330989804231,4.29317139204421,1.29774267649744,91.4331697009738,36.0908649468016,36.7553604199707,40.3659407124252,56.5501643427249,33.6729599971019,2.67641446705814
2252,4.33584670922163,4.33570937359176,1.33028840044686,90.9115656124882,36.0286273697325,36.6446660834854,40.2402993131449,56.3202182657109,33.5815620215547,2.71403991519525
